서식코드,서식명,대분류,구분,업데이트일
11212,자기 전환사채 매도 결정,수시공시,금감원,20250819
11214,자기 전환주식 매도 결정,수시공시,금감원,20250819
11301,부도발생,수시공시,금감원,20250819
11302,은행거래정지ㆍ금지,수시공시,금감원,20250819
11303,영업정지,수시공시,금감원,20250819
11304,회생절차개시신청,수시공시,금감원,20250819
11305,해산사유발생,수시공시,금감원,20250819
11306,유상증자결정,수시공시,금감원,20250819
11307,무상증자결정,수시공시,금감원,20250819
11308,유무상증자결정,수시공시,금감원,20250819
11309,감자결정,수시공시,금감원,20250819
11310,채권은행등의관리절차개시,수시공시,금감원,20250819
11312,소송등의제기,수시공시,금감원,20250819
11313,해외증권시장주권등상장결정,수시공시,금감원,20250819
11314,해외증권시장주권등상장폐지결정,수시공시,금감원,20250819
11315,해외증권시장주권등상장,수시공시,금감원,20250819
11316,해외증권시장주권등상장폐지,수시공시,금감원,20250819
11317,해외증권시장주권등매매거래정지등조치,수시공시,금감원,20250819
11318,외국법인등의외국법령등변경,수시공시,금감원,20250819
11319,외국법인등의주식등에대한외국에서의공개매수,수시공시,금감원,20250819
11320,외국법인등의주식등에대한외국에서의안정조작등,수시공시,금감원,20250819
11321,외국법인등의해외법규위반으로인한조치,수시공시,금감원,20250819
11322,외국법인등의외국거래소로부터매매거래정지ㆍ해제,수시공시,금감원,20250819
11323,외국법인등의외국거래소로부터상장폐지,수시공시,금감원,20250819
11324,전환사채권발행결정,수시공시,금감원,20250819
11325,신주인수권부사채권발행결정,수시공시,금감원,20250819
11326,교환사채권발행결정,수시공시,금감원,20250819
11327,채권은행등의관리절차중단,수시공시,금감원,20250819
11328,전환형 조건부자본증권 발행결정,수시공시,금감원,20250819
11329,상각형 조건부자본증권 발행결정,수시공시,금감원,20250819
11330,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,금감원,20250819
11331,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,금감원,20250819
11332,자기주식 취득 결정,수시공시,금감원,20250819
11333,자기주식 처분 결정,수시공시,금감원,20250819
11334,자기주식취득 신탁계약 체결 결정,수시공시,금감원,20250819
11335,자기주식취득 신탁계약 해지 결정,수시공시,금감원,20250819
11336,영업양수 결정,수시공시,금감원,20250819
11337,영업양도 결정,수시공시,금감원,20250819
11338,유형자산 양수 결정,수시공시,금감원,20250819
11339,유형자산 양도 결정,수시공시,금감원,20250819
11340,타법인 주식 및 출자증권 양수결정,수시공시,금감원,20250819
11341,타법인 주식 및 출자증권 양도결정,수시공시,금감원,20250819
11342,주권 관련 사채권 양수 결정,수시공시,금감원,20250819
11343,주권 관련 사채권 양도 결정,수시공시,금감원,20250819
11344,회사합병 결정,수시공시,금감원,20250819
11345,회사분할 결정,수시공시,금감원,20250819
11346,회사분할합병 결정,수시공시,금감원,20250819
11347,주식교환ㆍ이전 결정,수시공시,금감원,20250819
11348,자본으로 인정되는 채무증권 발행결정,수시공시,금감원,20250819
11350,자기 신주인수권부사채 매도 결정,수시공시,금감원,20250819
11354,자기 전환사채 만기전 취득 결정,수시공시,금감원,20250819
11355,자기 신주인수권부사채 만기전 취득 결정,수시공시,금감원,20250819
11356,자기 전환주식 취득 결정,수시공시,금감원,20250819
11357,신탁계약에 의한 자기주식 처분 결정,수시공시,금감원,20250819
61131,주식 소각 결정,수시공시,거래소,20250819
61178,회생절차개시결정,수시공시,거래소,20250819
61197,상장폐지결정,수시공시,거래소,20250819
61474,주식배당결정,수시공시,거래소,20250819
61500,현금ㆍ현물 배당 결정,수시공시,거래소,20250819
61570,영업전부의임대ㆍ경영위임등결정,수시공시,거래소,20250819
61571,영업전부의임대ㆍ경영위임등의계약변경ㆍ해지결정,수시공시,거래소,20250819
68109,전환가액ㆍ신주인수권행사가액ㆍ교환가액의 조정(안내공시),신고사항,거래소,20250819
91129,주식병합 결정,수시공시,거래소,20250819
91174,회생절차 종결신청,수시공시,거래소,20250819
91175,회생절차 폐지신청,수시공시,거래소,20250819
91199,채권은행 등의 관리절차 중단(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250819
91200,채권은행 등의 관리절차 해제,수시공시,거래소,20250819
91201,채권은행 등의 관리절차 개시 신청,수시공시,거래소,20250819
91202,채권은행 등의 관리절차 개시 신청취하,수시공시,거래소,20250819
91443,매출액또는손익구조30%(대규모법인은15%)이상변경,수시공시,거래소,20250819
91444,현금ㆍ현물배당을 위한 주주명부폐쇄(기준일) 결정,수시공시,거래소,20250819
91445,자본잠식 50% 이상 또는 매출액 50억원 미만 사실 발생,수시공시,거래소,20250819
91567,감사보고서 제출,수시공시,거래소,20250819
91710,회생절차 개시신청 기각,수시공시,거래소,20250819
91711,회생절차개시결정 취소,수시공시,거래소,20250819
91712,회생계획 인가,수시공시,거래소,20250819
91713,회생계획 불인가,수시공시,거래소,20250819
91720,파산신청,수시공시,거래소,20250819
91721,파산신청 기각,수시공시,거래소,20250819
91722,파산선고,수시공시,거래소,20250819
91958,회계처리기준 위반에 따른 임원의 해임권고 조치,수시공시,거래소,20250819
99522,반기검토의견 부적정 또는 의견거절,수시공시,거래소,20250819
99524,회계처리기준 위반에 따른 검찰고발 등 조치,수시공시,거래소,20250819
99525,회계처리기준 위반에 따른 검찰고발 등 조치결과,수시공시,거래소,20250819
99526,증권관련 집단소송의 제기ㆍ소송 허가신청,수시공시,거래소,20250819
99527,증권관련 집단소송의 허가결정,수시공시,거래소,20250819
99528,증권관련 집단소송의 불허가결정,수시공시,거래소,20250819
99529,증권관련 집단소송에 대한 판결ㆍ결정,수시공시,거래소,20250819
99530,증권관련집단소송관련소취하등허가신청,수시공시,거래소,20250819
99531,증권관련집단소송관련소취하등허가신청에대한결정,수시공시,거래소,20250819
99618,장래사업ㆍ경영 계획(공정공시),공정공시,거래소,20250819
99619,영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250819
99620,영업(잠정)실적(공정공시),공정공시,거래소,20250819
99621,수시공시의무관련사항(공정공시),공정공시,거래소,20250819
99626,연결재무제표기준영업(잠정)실적(공정공시),공정공시,거래소,20250819
99627,연결재무제표 기준 영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250819
99655,유상증자 신주발행가액(안내공시),수시공시,거래소,20250819
99660,종류주식의 보통주식으로 전환결의(안내공시),수시공시,거래소,20250819
99661,금융채권자협의회 소집(안내공시),수시공시,거래소,20250819
99663,기타 안내사항(안내공시),수시공시,거래소,20250819
99664,기업설명회(IR) 개최(안내공시),수시공시,거래소,20250819
99665,대표이사(대표집행임원) 변경(안내공시),수시공시,거래소,20250819
99752,공정거래 자율준수프로그램 운영현황(안내공시),수시공시,거래소,20250819
99833,결산실적공시 예고(안내공시),수시공시,거래소,20250819
